ID	rs3129058	delta	ut	lps
H_699	1	0.018495481	0.251901014	0.256560044
H_703	2	-0.085167778	0.317451888	0.290415216
H_547	1	-0.156384364	0.370641586	0.312679037
H_540	2	-0.061773562	0.366289848	0.343662819
H_687	2	-0.068121249	0.395642803	0.368691121
H_673	0	NA	0.88254282	0.397810948
H_555	1	-0.052081215	0.424702929	0.402583885
H_539	1	-0.043809382	0.437728283	0.418551678
H_575	1	0.025465554	0.408736035	0.419144725
H_598	2	-0.012775782	0.428610315	0.423134483
H_579	1	-0.058501158	0.457319168	0.430565467
H_659	1	-0.006074164	0.445913441	0.44320489
H_543	1	-0.047090881	0.466548212	0.444578046
H_550	0	-0.024691689	0.457251658	0.445961342
H_596	1	-0.040547533	0.471684213	0.452558582
H_534	1	-0.021188689	0.468651442	0.458721333
H_696	1	-0.033983406	0.480569894	0.464238493
H_626	1	-0.035465946	0.484197729	0.467025199
H_592	1	-0.067824457	0.501613284	0.467591635
H_565	1	-0.076143826	0.506782277	0.468193936
H_648	2	-0.006932339	0.4757969	0.472498515
H_624	1	-0.066585403	0.509242853	0.475334712
H_594	0	-0.010179286	0.480309628	0.475420419
H_576	1	-0.034754204	0.492963579	0.475831022
H_609	1	-0.047582594	0.500258973	0.476455354
H_631	1	-0.033507214	0.493784784	0.477239432
H_578	1	-0.022902929	0.489540661	0.478328746
H_532	1	0.008325696	0.475589738	0.479549353
H_633	1	-0.035233246	0.499194832	0.481606578
H_541	1	0.016422743	0.478354277	0.486210166
H_667	1	-0.015764446	0.49487852	0.487077035
H_546	1	0.039270162	0.469487846	0.487924709
H_582	1	-0.047402486	0.513145629	0.488821251
H_697	1	-0.035654262	0.511542691	0.493304014
H_650	1	-0.031576567	0.511157958	0.495017344
H_637	1	0.049332988	0.476686752	0.500203134
H_558	1	-0.023539601	0.513561209	0.501472183
H_545	1	-0.00862928	0.507547225	0.503167458
H_608	1	-0.009014381	0.512478114	0.507858441
H_630	1	0.052343079	0.487672143	0.513198405
H_690	1	-0.089338728	0.567622945	0.516912233
H_573	1	-0.07948949	0.565909901	0.520926011
H_652	0	-0.020791359	0.533096916	0.522013107
H_704	1	-0.036589576	0.543379468	0.523497443
H_574	1	-0.05032288	0.551359441	0.523613446
H_549	1	-0.082821078	0.570924295	0.523639729
H_542	1	0.013001765	0.518372312	0.525112067
H_570	1	-0.022419826	0.538570982	0.526496314
H_674	1	-0.034259999	0.546969789	0.528230605
H_638	1	-0.003443212	0.531211319	0.529382246
H_548	1	0.042084299	0.516312106	0.538040739
H_588	1	-0.040407262	0.561955949	0.539248847
H_700	1	-0.006505331	0.546579751	0.543024068
H_691	1	-0.06961253	0.586651352	0.545813067
H_601	1	-0.011764548	0.552479017	0.545979351
H_627	1	-0.068530201	0.595560973	0.55474706
H_566	1	0.004161325	0.552680656	0.55498054
H_680	1	NA	0.598113463	0.559143518
H_666	1	-0.041779859	0.590980623	0.566289536
H_538	1	-0.052906107	0.598227324	0.566577445
H_600	1	0.011338553	0.561307561	0.567671977
H_537	1	0.019534444	0.558652667	0.569565636
H_686	0	0.000735408	0.571265085	0.571685198
H_612	1	-0.017872259	0.583679695	0.57324802
H_677	1	-0.05857912	0.612114346	0.576257227
H_661	1	-0.051950007	0.610223902	0.578522766
H_544	1	-0.039181913	0.604105914	0.580435889
H_622	0	-0.016590182	0.595290997	0.585415011
H_610	1	-0.022476346	0.602227047	0.588691183
H_682	1	-0.040712291	0.616624681	0.591520478
H_681	1	-0.061384394	0.632017628	0.593221609
H_711	1	0.01864991	0.585203117	0.596117102
H_527	1	-5.83E-05	0.598177916	0.598143039
H_607	1	-0.053088984	0.631870618	0.598325249
H_672	0	-0.010465472	0.609109231	0.602734616
H_692	1	-0.02602357	0.628521781	0.6121654
H_583	1	0.082598087	0.565712453	0.61243922
H_621	1	-0.019955496	0.627468763	0.614947313
H_693	1	-0.006444986	0.619565987	0.615572893
H_595	0	-0.023320573	0.630566901	0.615861719
H_663	0	0.0614701	0.583668509	0.619546671
H_613	1	-0.02419462	0.649529852	0.633814724
H_713	1	-0.023969317	0.654092084	0.638413943
H_587	0	0.02839365	0.624098541	0.641818977
H_714	1	0.031085673	0.622883303	0.64224605
H_649	1	-0.077870768	0.702088005	0.647415873
H_715	1	0.029558298	0.635319541	0.654098505
H_694	1	-0.030703455	0.678197059	0.657374067
H_563	0	-0.038642598	0.684721961	0.658262526
H_560	0	0.004434358	0.65610167	0.65901106
H_616	1	-0.016835209	0.687186367	0.675617441
H_586	1	-0.012593193	0.684654128	0.676032146
H_706	0	-0.001779117	0.680005437	0.678795628
H_590	1	-0.039444578	0.713997703	0.685834365
H_591	1	-0.007235908	0.722576539	0.717348041
H_559	1	0.018930032	0.742638117	0.75669628
H_646	0	0.007649282	0.753475441	0.759238987
H_580	0	0.012528788	0.755263245	0.764725778
H_561	0	-0.041417669	0.830511887	0.796114021
H_603	0	-0.019685675	0.813069934	0.797064103
H_552	0	-0.03515033	0.840212934	0.810679172
H_635	0	-0.013056979	0.831953083	0.821090289
H_535	0	-0.004020475	0.824490405	0.821175562
H_689	0	0.011821533	0.8116168	0.821211355
H_678	0	-0.02412219	0.8520577	0.831504202
H_597	0	0.010241235	0.82479313	0.83324003
H_710	0	-0.001090301	0.83533865	0.834427879
H_665	0	-0.016032666	0.849040488	0.835428105
H_654	0	-0.005919511	0.850230568	0.845197619
H_536	0	-0.026094651	0.870328882	0.847617953
H_651	0	0.021711039	0.832071907	0.850137053
H_688	0	-0.057330541	0.90497367	0.85309104
H_683	0	0.011587742	0.847902071	0.857727341
H_564	0	0.001001646	0.857489229	0.85834813
H_584	0	0.010025724	0.852810896	0.861360943
H_668	0	-0.035743068	0.89472826	0.862747927
H_628	0	-0.026380585	0.88704137	0.863640699
H_643	0	0.01156536	0.854505767	0.864388434
H_645	0	-0.014010662	0.877092452	0.864803806
H_657	0	-0.02253274	0.887287664	0.867294642
H_620	0	0.0328889	0.840138414	0.867769642
H_551	0	-0.026852614	0.891894033	0.867944346
H_530	0	-0.000815675	0.869377617	0.868668487
H_642	0	-0.001103404	0.87064235	0.86968168
H_571	0	0.005311968	0.866778567	0.871382867
H_707	0	-0.01675116	0.886998549	0.872140295
H_568	0	-0.024298674	0.894123959	0.872397932
H_528	0	-0.004666246	0.878865117	0.874764116
H_581	0	-0.011948151	0.887008651	0.876410538
H_641	0	-0.02938929	0.903151583	0.876608599
H_604	0	-0.002232105	0.878643499	0.876682275
H_660	0	0.018422805	0.860992591	0.876854489
H_623	0	0.020320673	0.859520256	0.876986286
H_553	0	0.023973471	0.856688435	0.87722623
H_562	0	-0.009712356	0.885962402	0.87735762
H_529	0	0.000784022	0.876828466	0.877515919
H_712	0	-0.007239447	0.88440684	0.878004224
H_685	0	-0.015408601	0.891928729	0.878185355
H_572	0	0.040384809	0.844255278	0.878350366
H_640	0	-0.009465901	0.887164409	0.878766599
H_698	0	-0.013082977	0.891611673	0.879946738
H_653	0	-0.024366533	0.902590487	0.880597486
H_670	0	-0.017740893	0.896701285	0.880793003
H_617	0	0.004258716	0.87758004	0.881317404
H_567	0	-0.005592204	0.888528972	0.883560136
H_716	0	0.051140652	0.840674827	0.883667486
H_708	0	-0.024196589	0.906527882	0.884593
H_639	0	0.001409455	0.883817629	0.88506333
H_636	0	-0.005857492	0.890355787	0.885140535
H_605	0	-0.018915598	0.903255534	0.886169915
H_554	0	0.008019564	0.87949308	0.886546231
H_589	0	-0.005437125	0.891680939	0.886832758
H_647	0	-0.003517058	0.890063907	0.886933501
H_655	0	-0.00327754	0.890523941	0.887605214
H_634	0	-0.009358925	0.89624777	0.887859855
H_679	0	-0.023740258	0.910536372	0.888920004
H_526	0	-0.000959944	0.890880798	0.890025602
H_615	0	-0.001535584	0.891964594	0.890594907
H_625	0	-0.009391903	0.899815255	0.891364277
H_602	0	-0.01263835	0.904028556	0.892603127
H_664	0	0.02344897	0.87248899	0.892947958
H_632	0	0.017414382	0.877909644	0.893197897
H_531	0	-0.005367572	0.898088575	0.89326802
