geno d.meth cpg
0 0.0056995653414646 cg16655343
0 -0.0122388726247283 cg16655343
1 -0.0570599853733872 cg16655343
0 -0.0753449392295927 cg16655343
0 -0.00748443450373625 cg16655343
0 -0.027743812893093 cg16655343
0 -0.00457882327039029 cg16655343
1 -0.00669009258700259 cg16655343
0 0.0374279338682927 cg16655343
1 -0.000427718597249882 cg16655343
0 0.00566599779352889 cg16655343
0 0.00295860590540181 cg16655343
0.988 0.015515619484433 cg16655343
1 0.0549225509684027 cg16655343
1 -0.0403997473350279 cg16655343
1.974 -0.117305376322907 cg16655343
0.997 -0.0192382891919964 cg16655343
0.981 -0.0113166056045646 cg16655343
0.997 -0.0429509797622923 cg16655343
1 0.0294893488219075 cg16655343
0.985 0.00604956717853744 cg16655343
0.996 -0.0530163492257006 cg16655343
1.908 -0.0594346108910651 cg16655343
1 -0.104626294812411 cg16655343
0.988 -0.0447131193079838 cg16655343
1 -0.0268059769593947 cg16655343
0 0.0637653701368448 cg16655343
0 0.151110555215134 cg16655343
0 -0.0507303355024441 cg16655343
0 0.0657005551102507 cg16655343
0.999 -0.137433815990764 cg16655343
0 -0.00308461485977035 cg16655343
0 -0.00954509473906076 cg16655343
1 0.0156977205243017 cg16655343
0.987 -0.00752578377014346 cg16655343
1 -0.0304237958890277 cg16655343
0 0.00244512366696996 cg16655343
0 0.0290191831087283 cg16655343
0 -0.078181415614948 cg16655343
0 0.00211221359565027 cg16655343
1 -0.0640940796026818 cg16655343
1 -0.00138442774422107 cg16655343
0 -0.0191540682204541 cg16655343
0 -0.0230399056489773 cg16655343
0 -0.00114636770564838 cg16655343
0.995 -0.0387657332600387 cg16655343
0 0.0134084780319379 cg16655343
0 0.0134562848852735 cg16655343
1 -0.0515428642261871 cg16655343
1 0.0262903619925519 cg16655343
1 -0.071074605507468 cg16655343
0.998 -0.0712700085870638 cg16655343
0 -0.0222696545667503 cg16655343
1 -0.0658460154584465 cg16655343
0.999 -0.0116103936343789 cg16655343
0 -0.131023180712141 cg16655343
0 -0.00327964093476717 cg16655343
0.992 -0.0436719326365063 cg16655343
1 -0.109263989618174 cg16655343
0 0.0217065902893785 cg16655343
0 0.00230472561188549 cg16655343
1 -0.0380989638671004 cg16655343
1 -0.0126089053074419 cg16655343
1 -0.0497423138074665 cg16655343
0 -0.0323508431934048 cg16655343
0.976 0.0463516326227358 cg16655343
1 -0.0244032260169763 cg16655343
1 -0.0289503136069018 cg16655343
0 -0.018293975800184 cg16655343
1 -0.0686511048537182 cg16655343
0 -0.0549525097061437 cg16655343
0.996 -0.0377340797237952 cg16655343
0 -0.0824780326986251 cg16655343
1.99 -0.0731937771916161 cg16655343
0 -0.0998773709113101 cg16655343
1 -0.0384870595522378 cg16655343
0.998 0.00523872316045476 cg16655343
0 -0.0137592540766611 cg16655343
0 -0.0527412652454078 cg16655343
0 -0.00700541286544064 cg16655343
0 -0.0898052802292648 cg16655343
0 0.00196457847132045 cg16655343
1 -0.0400158914621526 cg16655343
0.986 -0.0201680342361628 cg16655343
1 -0.0652982260512615 cg16655343
0.994 0.00123283563344828 cg16655343
0 0.00879118014842462 cg16655343
1 -0.032418851790972 cg16655343
0.966 -0.0713410083631142 cg16655343
0 0.027202240833801 cg16655343
0 0.0165950712353369 cg16655343
0.998 -0.0657310451518527 cg16655343
0 -0.0611001489028145 cg16655343
0 0.0134274758480544 cg16655343
0 -0.0168609931929498 cg16655343
0 0.0112540263790833 cg16655343
1 -0.0633567437685492 cg16655343
1 -0.0422821780568403 cg16655343
0 -0.0525587568743669 cg16655343
1 -0.00139047506569456 cg16655343
0 0.0145168157765595 cg16655343
0.996 0.0509605148561717 cg16655343
0.999 -0.0261193902781141 cg16655343
0 -0.00873138030546856 cg16655343
0 -0.0287560942718009 cg16655343
1 -0.0412704458156071 cg16655343
1 -0.00477027868995628 cg16655343
0 -0.0495358003330097 cg16655343
0.994 -0.00652166283933897 cg16655343
1 -0.0399941248113754 cg16655343
0 -0.14170487358892 cg16655343
0 0.0136831860200082 cg16655343
0.969 -0.0198773466111616 cg16655343
1.991 -0.0284715069130388 cg16655343
0 0.168196355405349 cg16655343
0 -0.0229736024165169 cg16655343
0 0.0605164099106788 cg16655343
0 0.00333272346934539 cg16655343
0 0.0140542350142158 cg16655343
0 -0.0645351229079572 cg16655343
0 -0.0039443476875346 cg16655343
0 -0.0239040399878534 cg16655343
0 -0.0399719308607455 cg16655343
1.994 -0.0213574665618967 cg16655343
0.994 0.0650698435938871 cg16655343
0.986 -0.227013485275381 cg16655343
0 -0.0654164508993408 cg16655343
1 0.00276903132064332 cg16655343
0 0.0739518116942656 cg16655343
0 -0.020474846318198 cg16655343
0 0.0378740475073572 cg16655343
0 -0.0188971524812716 cg16655343
0 -0.0159002342438237 cg16655343
0 -0.00483824222184166 cg16655343
0.977 -0.0191906196089008 cg16655343
0 -0.0341050567572477 cg16655343
0.992 -0.0586759685975702 cg16655343
0 -0.00785905180890428 cg16655343
1.001 -0.0589038477997909 cg16655343
0 0.00658559739312267 cg16655343
0 -0.00997998924378631 cg16655343
1 0.00573261569535594 cg16655343
0.998 0.0260193511934467 cg16655343
0 0.0379500422119968 cg16655343
0 -0.024992865412603 cg16655343
0 0.0317158885226135 cg16655343
0 -0.013675480636644 cg16655343
0.994 -0.00443580376361047 cg16655343
0 -0.00331638724368727 cg16655343
1 -0.0195202536525726 cg16655343
0 0.0110951131012413 cg16655343
0 0.0107157591160626 cg16655343
1 0.00760054702134988 cg16655343
0.991 -0.0405711695000119 cg16655343
0 -0.0534962132079572 cg16655343
0 0.023378455510332 cg16655343
0 0.00364171912164447 cg16655343
1 0.00270304797192011 cg16655343
1.989 -0.102617294894615 cg16655343
0 -0.0192022421355944 cg16655343
