logFC AveExpr t P.Value adj.P.Val B qval corr.pvals corr.qvals
cg15755348 -0.3479600120898 0.556181289637843 -57.0869265940582 6.27878013906519e-122 2.78364694441344e-116 268.39829652256 1.67169416705841e-116 3.46612023862295e-92 1.38853006019678e-86
cg06480353 -0.32579897646271 0.60725924207386 -53.4853834247492 7.65467873695671e-117 1.69682029029993e-111 256.653919647413 1.01901018285868e-111 1.74083811011628e-87 3.48690449179706e-82
cg03366992 -0.156176850256225 0.597817429869733 -49.0587812569189 3.64868516517441e-110 5.39205126166251e-105 241.229669564329 3.23814794857202e-105 2.25788273351515e-81 3.01503105494366e-76
cg22524332 -0.242191439012497 0.737523191975978 -48.9009230299584 6.45257687714596e-110 7.15174584466911e-105 240.657747483839 4.29491672311799e-105 3.79256513177655e-81 3.79826025078841e-76
cg06779113 -0.171061465854621 0.379160164053689 -48.7746662300448 1.0191899371341e-109 9.03699410217815e-105 240.199180124626 5.42708562904185e-105 5.74707107690292e-81 4.60456094941332e-76
cg09244071 -0.286981017670919 0.625799443461202 -48.1392414705035 1.03292185878675e-108 7.6322940453039e-104 237.875807043725 4.58350562826052e-104 4.70942085156697e-80 3.14432851350257e-75
cg00458932 -0.281180683680947 0.57805463628378 -47.4412765861457 1.3550059785995e-107 8.58187229377513e-103 235.293503493048 5.15376631534969e-103 4.85483754671619e-79 2.77835876051662e-74
cg16151960 -0.150171680810259 0.700194059653747 -46.0016062510148 3.03557368030689e-105 1.68224663321827e-100 229.864040640427 1.01025810401298e-100 6.44196768071193e-77 3.22582064227465e-72
cg08861115 -0.207127152256321 0.738220527127884 -45.6213434867127 1.29809635346787e-104 6.39445148376838e-100 228.40615356236 3.84013039742942e-100 2.38373897476365e-76 1.06103045552516e-71
cg18030943 -0.183451022703504 0.676589111120882 -45.043600309358 1.20374463189169e-103 5.33670552592124e-99 226.171628191084 3.20491056414154e-99 1.76488402397211e-75 7.07013707354804e-71
cg05226740 -0.184456966976906 0.776369350043216 -44.9741448277764 1.57581598465679e-103 6.35114009336101e-99 225.901393903418 3.81412013098508e-99 2.2477138734993e-75 8.15277141493054e-71
cg23290159 -0.167684792476566 0.489608773138406 -44.946270215303 1.75586732019022e-103 6.4870810788981e-99 225.792843171643 3.89575826869597e-99 2.47697153245932e-75 8.15277141493054e-71
cg12124018 -0.147209853336086 0.65919578770805 -44.9129397559885 1.99850899568129e-103 6.49889519033507e-99 225.662972638897 3.90285312719366e-99 2.78214407519624e-75 8.15277141493054e-71
cg23391641 -0.196273478829022 0.581247840134946 -44.9061103521185 2.05224257265702e-103 6.49889519033507e-99 225.636352324169 3.90285312719366e-99 2.84919149661143e-75 8.15277141493054e-71
cg23097499 -0.222833921711664 0.639891875438011 -44.5271783639319 8.99180067755004e-103 2.65762859732426e-98 224.154029802941 1.59601498073268e-98 1.07199130862949e-74 2.86293618191213e-70
cg14247287 -0.254739715614341 0.578244491701021 -44.0186604884964 6.63742773259951e-102 1.83915655364133e-97 222.148315472904 1.10448894720638e-97 6.42014323228387e-74 1.60744601584002e-69
cg11911769 -0.270089913132674 0.650692357030065 -43.4300465757787 6.87452120627827e-101 1.79280234154931e-96 219.802734824314 1.07665134153288e-96 5.18420287181702e-73 1.22084324422497e-68
cg04915300 -0.220022975550721 0.543346075562112 -43.403963853528 7.6293938530909e-101 1.81566492179043e-96 219.698195408515 1.09038125872288e-96 5.68935046792686e-73 1.22084324422497e-68
cg10808934 -0.270337571211324 0.65806926396425 -43.3990307014609 7.78126897835489e-101 1.81566492179043e-96 219.678417579063 1.09038125872288e-96 5.79031036976592e-73 1.22084324422497e-68
cg22845912 -0.131636232458111 0.74749907614137 -43.1949299214803 1.76165364509728e-100 3.90507525162359e-96 218.858527309435 2.34515786319981e-96 1.20018928269581e-72 2.40398310246045e-68
cg04171808 -0.315289258451451 0.630960126914352 -43.0291473615709 3.42905620107224e-100 7.23926016331318e-96 218.190232249206 4.34747266104144e-96 2.17307829563135e-72 4.14541239321162e-68
cg26142490 -0.328921061462425 0.579389653224683 -42.941264482832 4.8851636673744e-100 9.84453741191409e-96 217.835110692591 5.91204850956875e-96 2.97857694986271e-72 5.42372680110216e-68
cg19984911 -0.214223618228698 0.587430714527309 -42.5501403448889 2.37716826337695e-99 4.58216753140028e-95 216.247425201515 2.75177954952199e-95 1.21788632367061e-71 2.12124376874779e-67
cg02233149 -0.223604169137335 0.59357412820217 -42.497017011275 2.94977682751144e-99 5.44899982609406e-95 216.030868662888 3.27234789737431e-95 1.47553634067663e-71 2.46292014184453e-67
cg17216385 -0.171199412380644 0.634666672921849 -42.2715398430865 7.39048688551551e-99 1.27968056033633e-94 215.109264519939 7.68500665181536e-95 3.33753610263052e-71 5.21293874525845e-67
cg03378645 -0.148095512483308 0.407434255502906 -42.2677816835994 7.5047468024109e-99 1.27968056033633e-94 215.093869909304 7.68500665181536e-95 3.38332959541484e-71 5.21293874525845e-67
cg13419330 -0.166481406040032 0.397514026223823 -41.444126893719 2.2247465139189e-97 3.65305025545864e-93 211.692956831941 2.19380651568522e-93 6.83043823139372e-70 1.01343632347032e-65
cg13152690 -0.204129860999071 0.678549934062833 -41.3589533831743 3.16832739156834e-97 5.01661643725961e-93 211.338178074614 3.01268393729556e-93 9.33949115364912e-70 1.3362165477123e-65
cg14790115 -0.266451166954298 0.59688066810868 -41.2825370650341 4.35319164707323e-97 6.65500927998876e-93 211.019377549243 3.99660604136745e-93 1.23701354209292e-69 1.70878773504597e-65
cg20278790 -0.219498248288063 0.456527349118035 -41.1253154282774 8.38168846196632e-97 1.23865150870169e-92 210.36197749313 7.43861036784978e-93 2.20761834783639e-69 2.94791123444563e-65
cg09169117 -0.331292216838915 0.631325155483328 -41.0519063117179 1.13887859919519e-96 1.62875069653031e-92 210.054339266208 9.78131599787258e-93 2.89452919606292e-69 3.74048487251086e-65
cg06942450 -0.200648259839798 0.611265807192832 -40.9482668845195 1.75702244156478e-96 2.43425576027566e-92 209.619265011644 1.461870429994e-92 4.24523224779244e-69 5.31450889500017e-65
cg07880384 -0.14541153432002 0.543316185257819 -40.9075571714294 2.08375027955062e-96 2.79943641344404e-92 209.448126865337 1.68117639084845e-92 4.9351888295639e-69 5.99103002853752e-65
cg13146484 -0.195519884397525 0.528415922115116 -40.8120061125015 3.11117680239298e-96 4.05680984096033e-92 209.045909148248 2.43628070779915e-92 7.030194890433e-69 8.28323742090162e-65
cg26328687 -0.186065703224872 0.404497337341932 -40.5503417438162 9.3605277728469e-96 1.185690029677e-91 207.940595395229 7.12055496307925e-92 1.8573412170596e-68 2.12586320017098e-64
cg23207054 -0.115508923489298 0.611089237232411 -40.0394578301188 8.1732402927181e-95 1.00653908273729e-90 205.766126950482 6.04468004430353e-91 1.25147621683314e-67 1.39261722286208e-63
cg11783497 -0.163072970138796 0.633882530191918 -39.8897172446911 1.54890899182928e-94 1.85593624393399e-90 205.124633800405 1.11456583948023e-90 2.19513452672559e-67 2.37668200902567e-63
cg24497361 -0.115876860156052 0.373595429025981 -39.4165607457047 1.18226685017109e-93 1.3793382891804e-89 203.085086963117 8.28349219016737e-90 1.30666184532317e-66 1.37749894606584e-62
cg14575790 -0.190323295798884 0.756409040224451 -39.4047970290634 1.24384628777108e-93 1.41397256644361e-89 203.034135123907 8.49148523108581e-90 1.36613454541493e-66 1.40326769871526e-62
cg09936933 -0.0656497502181765 0.460705410382067 -39.2574350644446 2.35198844719706e-93 2.6068381553931e-89 202.394859894573 1.56551323707979e-89 2.38740705166815e-66 2.39099211001694e-62
cg13551141 -0.160035930102126 0.640871830290195 -39.2399598186475 2.53687061653698e-93 2.74317388506522e-89 202.318925626904 1.647388434835e-89 2.55100387324588e-66 2.49252155838796e-62
cg02341503 -0.114313886330513 0.351347872595028 -39.1009268342073 4.63622973735427e-93 4.89389372432885e-89 201.713850127851 2.93898391445909e-89 4.3250167163659e-66 4.125248945911e-62
cg10638604 -0.307394941078233 0.716734735400564 -39.026516269179 6.40640639562536e-93 6.60518377732404e-89 201.389323382841 3.96668378332301e-89 5.73972767097534e-66 5.34729930566257e-62
cg08554554 -0.188663705805109 0.474957853845862 -39.01892527536 6.62146616307501e-93 6.67175920834091e-89 201.356189685113 4.00666506037528e-89 5.90795140640485e-66 5.37893009344683e-62
cg10699171 -0.194889350496234 0.385564734896508 -38.9234305562504 1.00353622739588e-92 9.88688351391433e-89 200.93893826888 5.93747908073134e-89 8.49927017629489e-66 7.56625167625978e-62
cg01320573 -0.106915954941524 0.702709315055725 -38.8714518978767 1.25883456051739e-92 1.21324832984544e-88 200.711489518532 7.28605385918775e-89 1.03620682728853e-65 9.0240247911438e-62
cg08655071 -0.162524010697711 0.423257745999278 -38.756119258616 2.08328056695871e-92 1.96511866620555e-88 200.205970194856 1.1801343623933e-88 1.60934069035226e-65 1.37170839367081e-61
cg01631497 -0.180908517807396 0.794084925124902 -38.6289690524019 3.63521587216386e-92 3.35759140666015e-88 199.647297447295 2.01637135813641e-88 2.61709844374219e-65 2.18419034916037e-61
cg21606287 -0.133590862733681 0.759167055069924 -38.2443786955663 1.97521748930998e-91 1.78713647376666e-87 197.948773292864 1.07324875553232e-87 1.14544915735332e-64 9.36464673618348e-61
