cg16527057	cg26430382	cg10907257	cg08344181	cg01620082	cg08524190	cg21438527	cg02824029	cg26129669	cg08093277	cg16994534	cg00433866	cg17977304	cg13682912	cg16118803	cg05279622	cg17745803	cg18488651	cg03147503	cg01644592	cg23019585	cg02475474	cg20704602	cg21356040	cg20198768	cg24444631	cg01558785	cg11358777	cg06061002	cg12833048	cg00539542	cg12463578	cg10174063	cg26021304	cg25978138	cg15708526	cg11747594	cg04071440	cg08022281	cg10648573	cg12644888	cg22494932	cg25699073	cg07134666	cg00588198	cg06032337	cg16885113	cg20228636	cg11383134	cg03198009	cg03449857	cg15570656	cg13835168	cg08041448	cg24100841	cg19636627	cg05863862	cg06458771	cg16655343	cg24177217	cg15180617	cg27230769	cg03432955	cg00126638	cg03521696	cg15411272	cg26502127	cg16690356	cg04983903	cg13207333	cg11867546	cg12976581	cg24694606	cg13919341	cg03228974	cg04906656	cg14747086	cg19178742	cg23003315	cg23642250	cg22377040	cg13196879	cg19382642	cg00354641	cg27123071	cg13436843	cg09735274	cg03403996	cg11100081	cg06657028	cg08116408	cg05074385	cg24064041	cg18200389	cg10985055	cg20802826	cg07979747	cg15848685	cg15992932	cg26672776	cg13561028	cg15063443	cg04559908	cg16519217	cg07613268	cg03081173	cg13212186	cg13502540	cg23634079	cg24009529	cg05525649	cg08293075	cg06431527	cg03280235	cg21386484	cg19555708	cg06194738	cg19321684	cg00442389	cg00366603	cg21241195	cg13966843	cg12771187	cg03724238	cg06606381	cg08083251	cg26800551	cg01255021	cg00624589	cg06099246	cg25791868	cg02839351	cg02753903	cg24377285	cg22379212	cg01017090	cg25652859	cg12321149	cg06065549	cg07105596	cg26534489	cg14564778	cg01817393	cg04257105	cg20528838	cg27661264	cg19589727	cg10302550	cg17414107	cg00943909	cg19640589	geno
0.535693813	0.033877523	0.85423883	0.803003718	0.826029317	0.882507858	0.058076201	0.445378679	0.473292892	0.494161109	0.755620359	0.836450452	0.453561484	0.81577464	0.543765384	0.286365789	0.780237302	0.289872383	0.590685919	0.643250302	0.425134833	0.811343807	0.647429407	0.86117077	0.771276528	0.828222195	0.809535009	0.874897665	0.623429466	0.701355108	0.846405393	0.541879484	0.188189113	0.14281152	0.895778187	0.801932217	0.872478107	0.817773883	0.711921833	0.894450668	0.748130705	0.942363907	0.89487838	0.932238432	0.898011503	0.507226361	0.900293518	0.913118461	0.954007442	0.898816613	0.866509069	0.869810505	0.886868103	0.950609676	0.859932391	0.846406162	0.835248968	0.74842214	0.052674336	0.773540624	0.884004426	0.964960075	0.387198322	0.291014831	0.099806815	0.225099369	0.141624936	0.818414839	0.337021147	0.159196244	0.056052659	0.075353552	0.832713613	0.642955521	0.425614328	0.065083701	0.205351815	0.210874063	0.161716338	0.095453825	0.065641846	0.112454466	0.075954448	0.094134522	0.128442544	0.135560689	0.120305043	0.8310171	0.595463353	0.699891826	0.424283105	0.890480109	0.71510751	0.743013099	0.067324762	0.557025945	0.850949459	0.426875222	0.744824331	0.623083193	0.530559459	0.724042214	0.77889249	0.61560146	0.677819906	0.84131232	0.76213182	0.630583925	0.808045104	0.013507722	0.542027888	0.533033993	0.304154297	0.70618875	0.372487741	0.548489163	0.583948966	0.414559344	0.147371527	0.506071048	0.909287853	0.90068029	0.850997048	0.79605596	0.86664436	0.836931098	0.831760409	0.672205982	0.90571987	0.520575854	0.815614736	0.645655911	0.512587737	0.327998557	0.453101915	0.45275967	0.373490836	0.219806324	0.44869341	0.471505579	0.320810013	0.474058151	0.178472487	0.435567667	0.340500382	0.395310847	0.412353211	0.458414443	0.498112178	0.460816288	0.562484381	0
0.588650634	0.023872394	0.892257901	0.68036197	0.82491655	0.869411551	0.05843101	0.385097205	0.502506272	0.534208172	0.749340359	0.748314929	0.433575807	0.847069706	0.479308991	0.369392189	0.826602804	0.39877089	0.566517411	0.738191299	0.410147625	0.802850306	0.659729237	0.879731479	0.628429601	0.745473927	0.811728572	0.860340121	0.618762554	0.731266378	0.851882783	0.528054606	0.19505706	0.132199197	0.881019554	0.792037593	0.834423135	0.82718016	0.633720889	0.828727254	0.697837679	0.951863941	0.857140183	0.928519338	0.732837664	0.538386814	0.890880798	0.805477761	0.92702645	0.808409429	0.845876766	0.817198643	0.735721101	0.651585577	0.725664548	0.845757173	0.873030363	0.757950598	0.422171321	0.73065904	0.854712707	0.499788388	0.443020806	0.331720196	0.144930034	0.262412461	0.112763988	0.790304279	0.317026468	0.155708802	0.081127512	0.0849896	0.839427863	0.686035943	0.3119704	0.071553839	0.125563581	0.147530134	0.125900953	0.110588974	0.080751621	0.122410688	0.113437971	0.214707715	0.139530165	0.249050544	0.198914464	0.826795396	0.376892714	0.487698591	0.449435966	0.863317106	0.532155831	0.647681328	0.839173006	0.655898916	0.867724989	0.347210167	0.559033333	0.667933671	0.539840611	0.769546553	0.759614304	0.643520305	0.713517226	0.844394825	0.802241297	0.693770838	0.820473163	0.0207534	0.518938689	0.52606141	0.348843885	0.716109291	0.507305105	0.560230063	0.602936191	0.447330478	0.153613262	0.835442176	0.899328146	0.891075853	0.79211197	0.679726245	0.883779208	0.526447878	0.829525919	0.720158628	0.91406727	0.592858199	0.820970791	0.611554054	0.51584872	0.44419903	0.812914162	0.422443176	0.381313823	0.384099862	0.423656414	0.351628121	0.394690805	0.390601708	0.359584289	0.406438053	0.259970055	0.355322131	0.349343523	0.443835604	0.461658876	0.427837059	0.472667709	0
0.542228564	0.024377153	0.8946432	0.667006106	0.826057601	0.884619285	0.062592037	0.34042202	0.511373487	0.481691341	0.732184222	0.812062104	0.545691524	0.823064012	0.481700688	0.448121963	0.822202532	0.426028042	0.612287467	0.724081321	0.439294666	0.81635717	0.649374848	0.846429926	0.650506701	0.774880177	0.823540132	0.883805325	0.635382631	0.719889255	0.822171375	0.363953861	0.135480898	0.449560426	0.779541071	0.560845516	0.539794351	0.624335988	0.527882666	0.625083467	0.588149999	0.745427391	0.699370683	0.512141097	0.490285334	0.063582017	0.598177916	0.52907745	0.647739921	0.473996163	0.544844631	0.520716368	0.443636573	0.301419337	0.420955062	0.451903911	0.862324248	0.411865402	0.676292345	0.760463159	0.889653155	0.13152161	0.347560525	0.250345638	0.111747687	0.72500787	0.101193124	0.848906845	0.361628954	0.176113309	0.106167127	0.103135019	0.835317846	0.722269209	0.294038129	0.083955545	0.207317817	0.221854096	0.177985938	0.099816444	0.078355201	0.14315416	0.118941059	0.244263694	0.129453962	0.1846205	0.164440797	0.461023707	0.495803112	0.68456026	0.462907329	0.873940879	0.583384839	0.659949333	0.848567598	0.581404154	0.852827541	0.38414958	0.470244446	0.480115385	0.371761513	0.784369903	0.425326734	0.539426688	0.654516651	0.827202136	0.737308047	0.591869816	0.841961045	0.01661963	0.585684415	0.558597646	0.288760567	0.689681579	0.464587006	0.549258484	0.588394645	0.408986396	0.177960831	0.472137447	0.88068358	0.906887171	0.832402632	0.702677324	0.865630967	0.427515616	0.793655377	0.695946571	0.890213975	0.651776845	0.826014803	0.619364962	0.63211163	0.521887347	0.811419928	0.450231508	0.380074519	0.37314897	0.430139397	0.371572138	0.422147744	0.426722979	0.375938599	0.427972944	0.282604703	0.349919277	0.357213608	0.451592043	0.471768478	0.449455109	0.480685126	1
0.544922664	0.035187456	0.884409257	0.709484358	0.823816835	0.855347651	0.055832981	0.366444017	0.495586916	0.51854444	0.731571898	0.767772456	0.506070304	0.840292755	0.441978475	0.384193097	0.808942798	0.395243727	0.582230506	0.75479851	0.441937245	0.809300694	0.619696294	0.856902817	0.623689311	0.77867705	0.802413401	0.869611484	0.647742695	0.710112676	0.83959931	0.557715095	0.168971503	0.143596636	0.884433726	0.825254336	0.849844461	0.819722638	0.699476559	0.818284875	0.698850083	0.926235723	0.822763004	0.887801092	0.738194316	0.840650457	0.878865117	0.801000099	0.920541281	0.770393872	0.790634402	0.794105368	0.747189257	0.669199652	0.790388519	0.850273845	0.826286407	0.757553259	0.664203985	0.791407759	0.88761983	0.14853565	0.427641065	0.33100767	0.118579967	0.249820287	0.117377299	0.825898528	0.332039934	0.151195163	0.067226418	0.081540912	0.867451059	0.651347201	0.365555661	0.077291966	0.155510661	0.191085015	0.175856486	0.090405059	0.071328223	0.113158498	0.11579081	0.188191848	0.158115475	0.17727895	0.139102526	0.80194812	0.517268208	0.607758492	0.454269175	0.550421713	0.590036975	0.659737687	0.472414157	0.540644227	0.825893533	0.532417733	0.459532072	0.452744805	0.359861462	0.763498549	0.431749967	0.685082393	0.645873598	0.798680017	0.732693845	0.601913832	0.838540696	0.018491486	0.538882081	0.548452072	0.316283915	0.717869645	0.470866253	0.569281173	0.617385501	0.412637927	0.217311151	0.499902433	0.917006505	0.908180223	0.838674894	0.705386092	0.872165502	0.50138405	0.788470608	0.685717604	0.830021246	0.618449176	0.836550044	0.622610641	0.463046098	0.342291424	0.653004618	0.447142636	0.319032364	0.327764909	0.406695641	0.33620254	0.355817503	0.339833935	0.242272153	0.373233221	0.248928658	0.296001365	0.301935636	0.378578913	0.43468971	0.414731548	0.44524878	0
0.595504771	0.028037063	0.899553657	0.726501985	0.833496406	0.866005127	0.055103492	0.39759441	0.494689573	0.518198232	0.697967876	0.768603844	0.479491098	0.815330446	0.423739343	0.337324527	0.821227431	0.27401883	0.530651183	0.699690179	0.400559426	0.806829609	0.636529841	0.8563332	0.621521597	0.702049678	0.802559778	0.861003404	0.630255566	0.67453304	0.853557219	0.482716368	0.162296984	0.129410896	0.886708252	0.818501385	0.871992459	0.836875009	0.727293454	0.808584973	0.746919648	0.960113739	0.845153256	0.92526787	0.713561583	0.461810182	0.876828466	0.810158629	0.934173311	0.717180006	0.836904757	0.843268436	0.63802744	0.652755284	0.749406084	0.829037618	0.848908494	0.744821772	0.067995658	0.769792428	0.86775492	0.964200054	0.513743612	0.421440844	0.170049321	0.272032644	0.184417768	0.796573227	0.363336659	0.125805134	0.068881168	0.07142709	0.855200032	0.673636354	0.365099648	0.068853821	0.193440148	0.216014636	0.16044194	0.107758711	0.073910891	0.123494831	0.10049153	0.153145649	0.122925165	0.14726996	0.136950773	0.833350804	0.479414015	0.627987278	0.438937069	0.882474785	0.611605384	0.719688167	0.466810858	0.603581012	0.853861487	0.448650964	0.536679938	0.671097478	0.557708261	0.728104067	0.709441801	0.604075035	0.703251568	0.885255024	0.779987876	0.772539518	0.824814238	0.014309243	0.589017102	0.547859128	0.283374571	0.662126962	0.403386956	0.538337313	0.565341175	0.398296036	0.165724555	0.86101583	0.893632843	0.907524823	0.787023201	0.685646571	0.885128239	0.568553705	0.795316715	0.661894109	0.903903822	0.645362758	0.83188505	0.650659404	0.472199463	0.313134601	0.729158113	0.415190839	0.297914458	0.29108494	0.355360069	0.270753207	0.409769066	0.349159455	0.229339736	0.336761051	0.223986795	0.239188474	0.23639139	0.321467629	0.370233828	0.378970394	0.36815061	0
0.602054274	0.014704285	0.868165003	0.698372117	0.81339387	0.879316363	0.057884137	0.429372062	0.508439191	0.502291048	0.726607417	0.752947194	0.511990479	0.792712095	0.392321379	0.296105906	0.832154386	0.327959356	0.50885116	0.678857269	0.347470689	0.797524745	0.577060835	0.872963358	0.554710518	0.696903376	0.793687058	0.852849214	0.605875048	0.719379295	0.863383411	0.58041727	0.222019392	0.177208475	0.893526347	0.8070628	0.835480248	0.826593591	0.715514431	0.839843628	0.756379711	0.956097682	0.871982897	0.947537654	0.736451502	0.877285598	0.869377617	0.823771571	0.96833479	0.784928284	0.84196129	0.831629845	0.753936278	0.728575219	0.79240121	0.825161082	0.834369618	0.74714407	0.703433638	0.8346521	0.890076636	0.11259212	0.451098007	0.372438235	0.138180717	0.187131161	0.099636532	0.520181486	0.32382485	0.142420679	0.101255147	0.086408782	0.864070803	0.675826298	0.345695214	0.07431741	0.18433017	0.224025257	0.172170132	0.103063651	0.062365644	0.120826489	0.106244084	0.150439049	0.117233629	0.139204488	0.137625526	0.828869338	0.518156275	0.614215641	0.435349842	0.869111687	0.584906657	0.643476317	0.813871082	0.607600502	0.868096174	0.297499839	0.528322549	0.683868838	0.580938661	0.761073392	0.718992148	0.604039718	0.623586938	0.844632028	0.813851991	0.672568154	0.864210977	0.014415495	0.576083512	0.593775568	0.323909215	0.741665839	0.480892757	0.585487842	0.629642516	0.423283529	0.174186563	0.484649219	0.901693068	0.888010826	0.786653923	0.661901215	0.87318599	0.428462811	0.8238858	0.641920131	0.91264507	0.626339283	0.838448163	0.630800142	0.536493256	0.434507337	0.74683528	0.406518403	0.330587549	0.348275844	0.399438936	0.33130205	0.419638051	0.410141172	0.36840788	0.382350188	0.232841087	0.291604666	0.342925789	0.449252124	0.456230139	0.445034152	0.473824739	0
0.575262152	0.020617313	0.862744279	0.6872662	0.825813118	0.879945405	0.055530652	0.36677287	0.440002091	0.55127512	0.683192505	0.768720925	0.495045329	0.843989325	0.437965725	0.278150596	0.809866533	0.324868308	0.518746152	0.711967575	0.42497755	0.813574438	0.671059451	0.854695572	0.638954106	0.682252656	0.798164051	0.88160868	0.617510637	0.722570443	0.870922646	0.45713855	0.172443415	0.108725206	0.895459373	0.8172358	0.818790381	0.847035277	0.758417405	0.852865884	0.755003539	0.953583771	0.863670667	0.936195921	0.625977342	0.490888497	0.898088575	0.870797942	0.942490921	0.768381132	0.879721249	0.828409046	0.679752484	0.659299139	0.695219229	0.808583158	0.845673626	0.736079882	0.071328617	0.727850887	0.875291239	0.942123916	0.509006224	0.393728441	0.165476274	0.335580134	0.106958466	0.834261607	0.303157305	0.119069255	0.047163598	0.105496451	0.875149741	0.723342576	0.31849501	0.076639763	0.088736209	0.10965994	0.083619547	0.126832066	0.10780636	0.165697491	0.150877014	0.231577742	0.15387437	0.225916066	0.207227592	0.826641308	0.485339933	0.636380351	0.409853376	0.815676849	0.529742121	0.616445508	0.858888727	0.610132286	0.841049292	0.433878915	0.473680894	0.663497883	0.556211937	0.756343079	0.747517418	0.640069512	0.65110974	0.775960832	0.735018936	0.582454684	0.836576907	0.018220849	0.577506614	0.581253115	0.298083927	0.736051037	0.411454506	0.561398977	0.579389807	0.39231945	0.135831115	0.487019138	0.516288857	0.504668404	0.780000054	0.690212192	0.880690679	0.315735118	0.787796584	0.738983012	0.942004373	0.609464254	0.836104373	0.611062999	0.64762999	0.496121121	0.805445887	0.445098004	0.38041224	0.393886999	0.472683567	0.420608854	0.394420687	0.47206423	0.465033493	0.447270601	0.315863619	0.378075914	0.396431956	0.471414501	0.526157746	0.460591877	0.510178021	0
0.557931353	0.025148178	0.889969674	0.721523971	0.820464867	0.868458044	0.070806804	0.350034452	0.464910911	0.470558603	0.768434527	0.78918845	0.627885394	0.846407086	0.569861933	0.546559233	0.862222448	0.502759012	0.613567259	0.723915604	0.475498582	0.819249736	0.69005002	0.872434521	0.68371262	0.776158412	0.824094296	0.877496145	0.691674501	0.741899312	0.797636311	0.318823388	0.134632751	0.411799054	0.686080443	0.525732903	0.469328961	0.535703598	0.470210949	0.589730356	0.578849117	0.638985634	0.644824115	0.420832254	0.479721486	0.058986011	0.475589738	0.463358173	0.524286923	0.447790384	0.465799622	0.412435331	0.359179469	0.266158544	0.473652886	0.317432399	0.883287333	0.412729291	0.406885588	0.732311323	0.86468116	0.525235473	0.495756907	0.399367501	0.176636718	0.321399904	0.106762388	0.824890838	0.326984375	0.139900257	0.074873198	0.126959276	0.845394024	0.700118425	0.327045197	0.07784352	0.107062123	0.129449501	0.123792689	0.130264977	0.081731892	0.131070204	0.109715055	0.183175046	0.134503922	0.169824688	0.153231362	0.428820848	0.442638605	0.582223793	0.443621436	0.88490443	0.536316512	0.675654183	0.826814617	0.654668128	0.764961515	0.457317001	0.417941057	0.475432817	0.348373202	0.777854898	0.44841894	0.583988936	0.601191645	0.741640358	0.697849631	0.53570634	0.843640119	0.063452013	0.595914458	0.577851544	0.250190645	0.679832302	0.424469423	0.508697442	0.532276696	0.310815291	0.130921614	0.076754039	0.560725653	0.552640365	0.848062525	0.691862254	0.891459856	0.594000051	0.823769843	0.723191885	0.938987975	0.619130212	0.808980858	0.604146429	0.621949965	0.55127044	0.832166708	0.441831919	0.392811118	0.401094942	0.428765991	0.378576589	0.423345172	0.478789114	0.446802411	0.453639821	0.308811199	0.35782086	0.37019631	0.478350707	0.521253446	0.46835751	0.520346418	1
0.543336484	0.036423083	0.90518255	0.69014786	0.850561474	0.886741171	0.064004289	0.369109231	0.443914435	0.517798453	0.702205588	0.736620309	0.549444145	0.810865785	0.40826724	0.28878443	0.815912987	0.31702783	0.544746658	0.744208574	0.360961549	0.801447084	0.643056457	0.857605881	0.611442121	0.718168268	0.823809492	0.877693821	0.603050672	0.702845024	0.862467958	0.536413361	0.181287117	0.118801057	0.890807327	0.821472585	0.811656797	0.836670461	0.742458096	0.833282475	0.744748317	0.944470567	0.876377522	0.935735416	0.727561112	0.877564462	0.914184739	0.84234761	0.953622787	0.844480378	0.854023949	0.850161374	0.682406766	0.710076338	0.714550246	0.848305389	0.831318205	0.714660854	0.373381716	0.75951028	0.863184722	0.47261134	0.389479097	0.305342349	0.113371765	0.36653343	0.09990458	0.869061241	0.347342855	0.125364578	0.055578143	0.091288783	0.882058744	0.657103334	0.350746048	0.085002829	0.154690343	0.17212902	0.143367344	0.093382565	0.066159396	0.113736799	0.103936855	0.148370846	0.115871683	0.147495638	0.139426288	0.871517118	0.440208286	0.65684111	0.392553914	0.856460659	0.560363544	0.592680292	0.849223322	0.608205341	0.834998244	0.29017554	0.496422095	0.687801394	0.541252992	0.781222397	0.701856695	0.638142329	0.720064507	0.840249914	0.824919359	0.673916418	0.854258888	0.032096887	0.529152621	0.554434678	0.28650198	0.758229463	0.425870311	0.572362877	0.60845474	0.365443387	0.141559759	0.073726234	0.894322917	0.886885141	0.799412767	0.615807125	0.8813667	0.387936122	0.810397193	0.650573009	0.895538287	0.577398372	0.819357463	0.622232556	0.50919015	0.344931766	0.756437375	0.413446931	0.31317298	0.3620144	0.395448136	0.344003161	0.35414462	0.382376076	0.437138735	0.387908055	0.2429884	0.294539769	0.335540884	0.3946047	0.421987444	0.403408582	0.45043588	0
0.557592185	0.018460786	0.832474016	0.671293832	0.826194245	0.870944594	0.057936231	0.4012146	0.454284969	0.431373551	0.768157933	0.764904733	0.603333931	0.832917687	0.612837491	0.54666604	0.848733695	0.524364332	0.606508456	0.741138603	0.54036639	0.830509713	0.740622089	0.888689739	0.691997262	0.791287912	0.81586171	0.885007048	0.651629168	0.742865882	0.835708847	0.330219638	0.116985232	0.42956907	0.71115443	0.523081957	0.445173532	0.540556834	0.407288996	0.537603024	0.53197863	0.622543908	0.565083246	0.438100831	0.380147281	0.052734473	0.468651442	0.437594848	0.528371476	0.358474741	0.453296306	0.42785556	0.340159974	0.199691577	0.346291719	0.241774184	0.869112921	0.404482325	0.403250321	0.706565281	0.890817035	0.520972068	0.456312157	0.389978799	0.14014244	0.568597493	0.08049536	0.846473067	0.289435324	0.14324699	0.083844992	0.082687199	0.801792146	0.665822416	0.304990591	0.099906556	0.119574261	0.154501815	0.127297629	0.097090094	0.081786878	0.121858552	0.113446937	0.157655513	0.120604887	0.170028647	0.143242185	0.805663329	0.441167699	0.628290759	0.463676291	0.862308247	0.565985849	0.67690401	0.8460455	0.668885088	0.856756158	0.142246015	0.562432362	0.645764085	0.531532148	0.725679548	0.758336761	0.625067124	0.69382414	0.878991411	0.796443243	0.692330635	0.841625437	0.023608116	0.499892571	0.523696647	0.345334285	0.726518446	0.43422091	0.539939987	0.584145914	0.423561334	0.147257207	0.468837222	0.90993635	0.866244076	0.839233052	0.66883827	0.895974403	0.412239462	0.829318335	0.796043811	0.938551034	0.713049311	0.81521224	0.60779479	0.6918248	0.604238489	0.882717296	0.411859896	0.214586928	0.233241874	0.308379113	0.209423582	0.325805201	0.226455252	0.198599796	0.23737314	0.159032369	0.228922695	0.237842724	0.324199828	0.297144932	0.324472903	0.308343658	1
