cpg beta p p.adj imprinted chr start end base.med
cg16527057 -0.0109374792944058 1.3150781110239e-05 0.038113267306922 0 chr1 157069193 157069243 0.567606757004974
cg26430382 -0.00388098260524008 9.23299253924623e-06 0.0285422810966095 0 chr1 228270028 228270078 0.0233011959610435
cg10907257 -0.0111508503768925 1.45126782279442e-05 0.0409912269206448 0 chr3 3357641 3357691 0.871192951349211
cg08344181 -0.0476030379674584 9.25367349926891e-09 5.27804773046681e-05 0 chr3 125677442 125677492 0.700812108783126
cg01620082 -0.0782423370456091 2.09524399645676e-15 1.97325694191886e-11 0 chr3 125678406 125678456 0.825760318600065
cg08524190 -0.00654218093515876 1.01491390650052e-05 0.0306719858317898 0 chr3 128825221 128825271 0.875907372768739
cg21438527 0.103493511544258 3.42774151851309e-07 0.00134768480004335 0 chr6 26189306 26189356 0.0590079413686683
cg02824029 0.0343117139834734 2.91782353515642e-09 1.76360657897704e-05 0 chr6 29569959 29570009 0.398837747378802
cg26129669 -0.0175097917638173 1.61854139814725e-05 0.0445886134218163 0 chr6 29593864 29593914 0.480943189823238
cg08093277 -0.0183315222584315 1.51210196832626e-05 0.0422309223174651 0 chr6 29595250 29595300 0.504772740848475
cg16994534 0.0197339999435384 6.27902841993581e-07 0.00233283187530212 0 chr6 29620089 29620139 0.748944997490832
cg00433866 0.021912695507349 2.90662649392836e-07 0.00117477989408859 0 chr6 29623645 29623695 0.780924801057386
cg17977304 0.0579747980512688 1.41201381517919e-17 1.50477940701063e-13 0 chr6 29623943 29623993 0.529186812729347
cg13682912 0.0125115971751835 1.71144017734081e-05 0.0462048914277881 0 chr6 29627093 29627143 0.832158023728239
cg16118803 0.0959421595571972 1.75181777848506e-35 2.62749958023778e-31 0 chr6 29629715 29629765 0.482413482227327
cg05279622 0.122328433585943 3.47933220987143e-43 5.63603107348233e-39 0 chr6 29629757 29629807 0.399422323224944
cg17745803 0.020531984501857 6.25598847598218e-13 5.27803411078359e-09 0 chr6 29631320 29631370 0.831262307925152
cg18488651 0.106527602585867 2.17631290545486e-23 2.59214869340449e-19 0 chr6 29633624 29633674 0.380987342415441
cg03147503 0.0704737875950186 1.46748682640457e-26 1.85712750829665e-22 0 chr6 29633920 29633970 0.592499663207711
cg01644592 0.0304691215977371 1.56427445970571e-10 1.11136211679776e-06 0 chr6 29633922 29633972 0.744421752454583
cg23019585 0.0646518484177669 4.24934480530369e-30 5.73611973026602e-26 0 chr6 29635061 29635111 0.440337002673442
cg02475474 0.00917978246736652 1.43217371428237e-06 0.00491508667969797 0 chr6 29635157 29635207 0.812625311005547
cg20704602 0.0491625531310934 6.8839861172893e-22 7.53452280537314e-18 0 chr6 29635322 29635372 0.668134460228881
cg21356040 0.00735071524417982 4.92242258747168e-06 0.0156961327805942 0 chr6 29635446 29635496 0.865574545198143
cg20198768 0.0574926507730621 1.53979964873289e-16 1.52089015792467e-12 0 chr6 29635530 29635580 0.653860429094991
